sample_id,obs_id,strain_id,count
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_059,str_059,318
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_060,str_060,809
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_060,str_060,872
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_060,str_060,961
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_060,str_060,947
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_060,str_060,987
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_060,str_060,929
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_060,str_060,746
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_060,str_060,824
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_060,str_060,895
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_060,str_060,974
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_060,str_060,951
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_060,str_060,956
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_060,str_060,1051
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_060,str_060,902
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_060,str_060,806
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_060,str_060,970
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_060,str_060,985
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_060,str_060,948
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_061,str_061,1088
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_061,str_061,1163
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_061,str_061,944
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_061,str_061,981
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_061,str_061,956
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_061,str_061,829
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_061,str_061,996
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_061,str_061,1006
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_061,str_061,990
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_061,str_061,1056
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_061,str_061,1040
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_061,str_061,874
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_061,str_061,886
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_061,str_061,989
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_061,str_061,1065
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_061,str_061,868
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_061,str_061,939
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_061,str_061,948
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_062,str_062,836
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_062,str_062,1100
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_062,str_062,1124
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_062,str_062,1132
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_062,str_062,1130
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_062,str_062,1038
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_062,str_062,1260
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_062,str_062,984
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_062,str_062,1102
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_062,str_062,1018
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_062,str_062,1124
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_062,str_062,1091
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_062,str_062,1192
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_062,str_062,1060
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_062,str_062,1059
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_062,str_062,1087
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_062,str_062,1137
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_062,str_062,1154
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_063,str_063,800
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_063,str_063,946
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_063,str_063,891
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_063,str_063,879
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_063,str_063,925
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_063,str_063,899
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_063,str_063,749
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_063,str_063,709
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_063,str_063,906
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_063,str_063,863
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_063,str_063,947
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_063,str_063,789
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_063,str_063,768
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_063,str_063,769
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_063,str_063,906
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_063,str_063,901
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_063,str_063,941
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_063,str_063,1016
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_064,str_064,1769
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_064,str_064,1865
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_064,str_064,2040
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_064,str_064,1897
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_064,str_064,1807
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_064,str_064,1920
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_064,str_064,2051
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_064,str_064,2026
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_064,str_064,1816
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_064,str_064,2030
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_064,str_064,1898
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_064,str_064,1847
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_064,str_064,1979
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_064,str_064,1869
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_064,str_064,2063
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_064,str_064,1993
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_064,str_064,1898
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_064,str_064,2006
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_065,str_065,467
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_065,str_065,412
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_065,str_065,416
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_065,str_065,478
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_065,str_065,469
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_065,str_065,484
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_065,str_065,376
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_065,str_065,576
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_065,str_065,452
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_065,str_065,476
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_065,str_065,413
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_065,str_065,449
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_065,str_065,445
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_065,str_065,475
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_065,str_065,474
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_065,str_065,452
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_065,str_065,472
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_065,str_065,487
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_066,str_066,1017
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_066,str_066,1123
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_066,str_066,978
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_066,str_066,1105
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_066,str_066,1072
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_066,str_066,1138
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_066,str_066,1033
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_066,str_066,1090
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_066,str_066,1136
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_066,str_066,1025
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_066,str_066,1054
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_066,str_066,1028
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_066,str_066,992
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_066,str_066,1166
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_066,str_066,1164
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_066,str_066,987
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_066,str_066,1014
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_066,str_066,996
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_067,str_067,865
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_067,str_067,666
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_067,str_067,668
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_067,str_067,587
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_067,str_067,583
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_067,str_067,586
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_067,str_067,610
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_067,str_067,721
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_067,str_067,666
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_067,str_067,603
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_067,str_067,524
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_067,str_067,541
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_067,str_067,987
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_067,str_067,770
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_067,str_067,720
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_067,str_067,583
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_067,str_067,610
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_067,str_067,572
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_068,str_068,1496
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_068,str_068,679
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_068,str_068,425
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_068,str_068,318
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_068,str_068,235
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_068,str_068,194
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_068,str_068,1165
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_068,str_068,716
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_068,str_068,474
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_068,str_068,332
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_068,str_068,241
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_068,str_068,183
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_068,str_068,1117
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_068,str_068,657
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_068,str_068,460
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_068,str_068,272
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_068,str_068,218
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_068,str_068,219
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_069,str_069,557
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_069,str_069,649
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_069,str_069,665
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_069,str_069,640
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_069,str_069,694
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_069,str_069,696
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_069,str_069,676
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_069,str_069,765
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_069,str_069,769
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_069,str_069,680
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_069,str_069,626
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_069,str_069,691
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_069,str_069,839
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_069,str_069,631
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_069,str_069,693
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_069,str_069,785
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_069,str_069,652
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_069,str_069,710
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_070,str_070,1238
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_070,str_070,991
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_070,str_070,788
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_070,str_070,791
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_070,str_070,604
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_070,str_070,582
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_070,str_070,1261
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_070,str_070,1098
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_070,str_070,860
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_070,str_070,712
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_070,str_070,684
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_070,str_070,655
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_070,str_070,1006
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_070,str_070,1026
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_070,str_070,775
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_070,str_070,800
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_070,str_070,626
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_070,str_070,635
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_071,str_071,1111
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_071,str_071,1310
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_071,str_071,1014
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_071,str_071,1019
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_071,str_071,978
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_071,str_071,888
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_071,str_071,1280
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_071,str_071,1147
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_071,str_071,1046
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_071,str_071,1024
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_071,str_071,962
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_071,str_071,937
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_071,str_071,1203
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_071,str_071,1109
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_071,str_071,1133
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_071,str_071,1036
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_071,str_071,981
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_071,str_071,921
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_072,str_072,1036
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_072,str_072,1070
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_072,str_072,1189
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_072,str_072,1116
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_072,str_072,1174
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_072,str_072,1107
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_072,str_072,878
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_072,str_072,1149
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_072,str_072,1113
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_072,str_072,1083
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_072,str_072,1153
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_072,str_072,1184
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_072,str_072,941
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_072,str_072,1233
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_072,str_072,1184
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_072,str_072,1119
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_072,str_072,1131
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_072,str_072,1115
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_073,str_073,1198
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_073,str_073,1128
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_073,str_073,927
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_073,str_073,934
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_073,str_073,766
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_073,str_073,736
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_073,str_073,1370
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_073,str_073,1269
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_073,str_073,1009
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_073,str_073,819
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_073,str_073,805
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_073,str_073,765
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_073,str_073,1324
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_073,str_073,1207
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_073,str_073,1098
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_073,str_073,920
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_073,str_073,818
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_073,str_073,782
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_074,str_074,967
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_074,str_074,841
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_074,str_074,627
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_074,str_074,383
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_074,str_074,254
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_074,str_074,291
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_074,str_074,1101
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_074,str_074,743
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_074,str_074,473
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_074,str_074,419
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_074,str_074,344
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_074,str_074,260
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_074,str_074,1066
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_074,str_074,803
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_074,str_074,408
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_074,str_074,381
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_074,str_074,283
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_074,str_074,256
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_075,str_075,901
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_075,str_075,840
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_075,str_075,620
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_075,str_075,755
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_075,str_075,589
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_075,str_075,679
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_075,str_075,1108
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_075,str_075,809
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_075,str_075,755
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_075,str_075,658
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_075,str_075,665
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_075,str_075,579
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_075,str_075,866
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_075,str_075,819
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_075,str_075,764
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_075,str_075,685
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_075,str_075,572
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_075,str_075,544
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_076,str_076,753
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_076,str_076,675
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_076,str_076,499
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_076,str_076,564
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_076,str_076,471
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_076,str_076,472
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_076,str_076,636
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_076,str_076,613
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_076,str_076,676
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_076,str_076,573
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_076,str_076,579
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_076,str_076,467
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_076,str_076,704
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_076,str_076,690
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_076,str_076,618
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_076,str_076,495
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_076,str_076,518
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_076,str_076,499
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_077,str_077,1852
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_077,str_077,2090
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_077,str_077,1936
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_077,str_077,2050
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_077,str_077,2033
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_077,str_077,2028
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_077,str_077,1856
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_077,str_077,2058
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_077,str_077,2195
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_077,str_077,1937
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_077,str_077,2057
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_077,str_077,1961
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_077,str_077,1605
dose_2-rep_2-t_1,dose_2-rep_2-t_1-strain_str_077,str_077,1915
dose_2-rep_2-t_2,dose_2-rep_2-t_2-strain_str_077,str_077,1830
dose_2-rep_2-t_3,dose_2-rep_2-t_3-strain_str_077,str_077,1995
dose_2-rep_2-t_4,dose_2-rep_2-t_4-strain_str_077,str_077,1927
dose_2-rep_2-t_5,dose_2-rep_2-t_5-strain_str_077,str_077,1958
dose_2-rep_0-t_0,dose_2-rep_0-t_0-strain_str_078,str_078,958
dose_2-rep_0-t_1,dose_2-rep_0-t_1-strain_str_078,str_078,967
dose_2-rep_0-t_2,dose_2-rep_0-t_2-strain_str_078,str_078,1053
dose_2-rep_0-t_3,dose_2-rep_0-t_3-strain_str_078,str_078,981
dose_2-rep_0-t_4,dose_2-rep_0-t_4-strain_str_078,str_078,1054
dose_2-rep_0-t_5,dose_2-rep_0-t_5-strain_str_078,str_078,980
dose_2-rep_1-t_0,dose_2-rep_1-t_0-strain_str_078,str_078,874
dose_2-rep_1-t_1,dose_2-rep_1-t_1-strain_str_078,str_078,939
dose_2-rep_1-t_2,dose_2-rep_1-t_2-strain_str_078,str_078,956
dose_2-rep_1-t_3,dose_2-rep_1-t_3-strain_str_078,str_078,1030
dose_2-rep_1-t_4,dose_2-rep_1-t_4-strain_str_078,str_078,904
dose_2-rep_1-t_5,dose_2-rep_1-t_5-strain_str_078,str_078,915
dose_2-rep_2-t_0,dose_2-rep_2-t_0-strain_str_078,str_078,721
